1000, 640, 637, 636
2000, 1283, 1278, 1275
3000, 1920, 1914, 1911
4000, 2559, 2551, 2546
5000, 3199, 3194, 3188
6000, 3861, 3857, 3851
7000, 4484, 4477, 4469
8000, 5174, 5168, 5160
9000, 5736, 5729, 5719
10000, 6400, 6393, 6382
11000, 7066, 7060, 7046
12000, 7679, 7674, 7661
13000, 8399, 8391, 8378
14000, 9033, 9029, 9015
15000, 9615, 9608, 9592
16000, 10310, 10305, 10286
17000, 10966, 10961, 10942
18000, 11577, 11571, 11550
19000, 12258, 12250, 12230
