1000, 0.000278472900390625, 0.02339625358581543, 0.03525352478027344
2000, 0.0006051063537597656, 0.09535479545593262, 0.14313626289367676
3000, 0.0009295940399169922, 0.2166745662689209, 0.3246753215789795
4000, 0.0012271404266357422, 0.3855741024017334, 0.5744748115539551
5000, 0.001493215560913086, 0.6096363067626953, 0.9147548675537109
6000, 0.002025604248046875, 0.8854401111602783, 1.3268325328826904
7000, 0.0021104812622070312, 1.2042748928070068, 1.8001062870025635
8000, 0.002426624298095703, 1.6279518604278564, 2.3902993202209473
9000, 0.002743959426879883, 1.992269515991211, 2.9634878635406494
10000, 0.003049612045288086, 2.525331974029541, 3.692723035812378
11000, 0.0034961700439453125, 3.0157692432403564, 4.469377279281616
12000, 0.0037043094635009766, 3.6199958324432373, 5.334019422531128
13000, 0.004247903823852539, 4.4122889041900635, 6.3905863761901855
14000, 0.004380941390991211, 5.02239203453064, 7.442655563354492
15000, 0.005589723587036133, 6.047176361083984, 8.886475086212158
16000, 0.005309104919433594, 6.7410900592803955, 9.957632064819336
17000, 0.005752086639404297, 7.490389823913574, 10.975525140762329
18000, 0.006077766418457031, 11.27241063117981, 13.547948122024536
19000, 0.00640869140625, 9.506783962249756, 13.950715065002441
