10 .0003388
20 .0034295
30 .0075861
40 .0206958
50 .0325854
60 .0546702
70 .0906825
80 .1341671
90 .1941552
100 .2598245
110 .3298490
120 .4240961
130 .5165901
140 .6573387
150 .8495144
160 1.0323639
170 1.1833600
180 1.3749580
190 1.7092200
200 1.9161400
210 2.2631860
220 2.6903650
230 2.9136040
240 3.3748900
250 3.7829540
260 4.2302060
270 5.2446900
280 5.2032670
290 5.8634900
300 7.1510220
310 7.4068000
320 7.8840550
330 8.7610760
340 9.3544460
350 10.0715390
360 11.4871300
370 12.3811800
380 12.5603000
390 14.3226400
400 15.2961800
