10 .0003926
20 .0021591
30 .0071630
40 .0167436
50 .0290399
60 .0534257
70 .0785020
80 .1177131
90 .1585536
100 .2008288
110 .2839021
120 .3516655
130 .4526493
140 .5475229
150 .6948960
160 .8069385
170 1.0000916
180 1.2139040
190 1.4048580
200 1.6300590
210 1.8017380
220 2.2971530
230 2.4353610
240 2.8283160
250 3.3894180
260 4.0006380
270 4.0478330
280 4.4998660
290 5.3112720
300 5.6273430
310 6.2271660
320 6.5900900
330 7.2104730
340 8.1330490
350 8.7433190
360 9.3190760
370 10.4897080
380 11.4229100
390 12.3517200
400 12.2921200
