10 .0003603
20 .0024051
30 .0074941
40 .0171260
50 .0368749
60 .0629328
70 .0822125
80 .1171982
90 .1765551
100 .2381891
110 .2983267
120 .3803866
130 .4449133
140 .6350578
150 .7107991
160 .8919679
170 1.0771962
180 1.2231290
190 1.4998720
200 1.7441160
210 2.1243350
220 2.3011260
230 2.7370300
240 3.3021900
250 3.5623310
260 3.7995060
270 4.5655470
280 4.9143030
290 5.7833090
300 5.9376850
310 6.5778380
320 6.8807350
330 8.5411440
340 9.2262460
350 9.4474210
360 10.4158980
370 11.7012400
380 12.7808900
390 13.2373700
400 14.1220900
