10 .0003719
20 .0025972
30 .0065953
40 .0160236
50 .0290993
60 .0490493
70 .0761634
80 .1055092
90 .1599174
100 .2131112
110 .2628799
120 .4075028
130 .4343241
140 .5321093
150 .6599328
160 .8523421
170 .9696408
180 1.1152555
190 1.3143900
200 1.6165960
210 1.8209760
220 2.2216390
230 2.4255190
240 2.7141930
250 3.0927130
260 3.6625040
270 3.9819060
280 4.6570860
290 4.9206520
300 5.5459090
310 6.0958900
320 6.5282840
330 7.2311180
340 7.7205160
350 8.4739910
360 9.2198730
370 10.5629590
380 11.1404900
390 12.1054600
400 13.2031600
