1000, 621, 621, 621
2000, 1273, 1273, 1273
3000, 1915, 1915, 1915
4000, 2557, 2557, 2557
5000, 3209, 3209, 3209
6000, 3903, 3903, 3903
7000, 4524, 4524, 4524
8000, 5104, 5104, 5104
9000, 5777, 5777, 5777
10000, 6369, 6369, 6369
11000, 7015, 7015, 7015
12000, 7651, 7651, 7651
13000, 8351, 8351, 8351
14000, 8984, 8984, 8984
15000, 9609, 9609, 9609
16000, 10226, 10226, 10226
17000, 10915, 10915, 10915
18000, 11563, 11563, 11563
19000, 12272, 12272, 12272
